label_name,feature_type,min_samples_leaf,min_samples_split,criterion,train_f1_score,val_f1_score
coalitions,scaled,2,2,gini,0.852782525429121,0.22572711215576136
coalitions,scaled,3,2,gini,0.7662812265323027,0.2019797796227861
coalitions,scaled,4,2,gini,0.6887396371683204,0.21594509166364523
coalitions,scaled,5,2,gini,0.6391643391832369,0.2184146207718709
coalitions,scaled,6,2,gini,0.5936281750321342,0.24875925495567083
coalitions,scaled,7,2,gini,0.540754193650786,0.22433136614199753
coalitions,scaled,8,2,gini,0.5144180248005236,0.23585909326736426
coalitions,scaled,9,2,gini,0.48410208154906664,0.20355866552185473
coalitions,scaled,10,2,gini,0.4628108086360272,0.19320606467497656
coalitions,scaled,11,2,gini,0.44360463020450125,0.21057020065195128
coalitions,scaled,12,2,gini,0.4305368014381884,0.21002110148965883
coalitions,scaled,13,2,gini,0.40001438960740876,0.21621144038482704
coalitions,scaled,14,2,gini,0.3870329990071841,0.21686602354246026
coalitions,scaled,15,2,gini,0.3640261813712661,0.2185685969563648
coalitions,scaled,16,2,gini,0.35110893265617743,0.21660581719303568
coalitions,scaled,17,2,gini,0.3529077180466972,0.21581732212783805
coalitions,scaled,18,2,gini,0.3453684899874505,0.21022511501908134
coalitions,scaled,19,2,gini,0.33873756914237424,0.2129564343762116
coalitions,scaled,2,3,gini,0.8524127134498205,0.222290835690904
coalitions,scaled,3,3,gini,0.7668526000760502,0.210066953408596
coalitions,scaled,4,3,gini,0.689076008178439,0.20675761098919515
coalitions,scaled,5,3,gini,0.6413317901540153,0.22874598966815918
coalitions,scaled,6,3,gini,0.5936281750321342,0.2498074293862667
coalitions,scaled,7,3,gini,0.5444158009569919,0.22993101043412176
coalitions,scaled,8,3,gini,0.5152940264466369,0.23437400428227528
coalitions,scaled,9,3,gini,0.48410208154906664,0.20443923997385777
coalitions,scaled,10,3,gini,0.46183660562461626,0.19436046582937772
coalitions,scaled,11,3,gini,0.4436173984484116,0.20927803856736574
coalitions,scaled,12,3,gini,0.4381266515119785,0.20639445498240927
coalitions,scaled,13,3,gini,0.40164712465914265,0.22389305770883414
coalitions,scaled,14,3,gini,0.3870329990071841,0.21644197311840982
coalitions,scaled,15,3,gini,0.3640261813712661,0.2185685969563648
coalitions,scaled,16,3,gini,0.3509654716196843,0.22243430846924345
coalitions,scaled,17,3,gini,0.3529077180466972,0.21581732212783805
coalitions,scaled,18,3,gini,0.3449344064333345,0.2099037410134968
coalitions,scaled,19,3,gini,0.3380967426448583,0.21263812830411427
coalitions,scaled,2,4,gini,0.8526793336592948,0.22639850982825632
coalitions,scaled,3,4,gini,0.7677693071106454,0.205958783742399
coalitions,scaled,4,4,gini,0.6881181220226488,0.21356536140329974
