label_name,feature_type,distance,n_neighbours,weights,train_f1_score,val_f1_score
coalitions,scaled,euclidean,5,uniform,0.4447518468671233,0.26132073769352526
coalitions,scaled,manhattan,5,uniform,0.4345821262311113,0.2536751622675357
coalitions,scaled,chebyshev,5,uniform,0.4605669057125724,0.22181967950728754
coalitions,scaled,minkowski,5,uniform,0.4447518468671233,0.26132073769352526
coalitions,scaled,euclidean,5,distance,1.0,0.27141635967235944
coalitions,scaled,manhattan,5,distance,1.0,0.274871450743851
coalitions,scaled,chebyshev,5,distance,1.0,0.24808303165047946
coalitions,scaled,minkowski,5,distance,1.0,0.27141635967235944
coalitions,scaled,euclidean,10,uniform,0.2979203017211215,0.22720608094272104
coalitions,scaled,manhattan,10,uniform,0.2997373646780409,0.2248622942699118
coalitions,scaled,chebyshev,10,uniform,0.3235768595729491,0.218580693713597
coalitions,scaled,minkowski,10,uniform,0.2979203017211215,0.22720608094272104
coalitions,scaled,euclidean,10,distance,1.0,0.2651451392327577
coalitions,scaled,manhattan,10,distance,1.0,0.2401716591046968
coalitions,scaled,chebyshev,10,distance,1.0,0.24491167281922355
coalitions,scaled,minkowski,10,distance,1.0,0.2651451392327577
coalitions,scaled,euclidean,20,uniform,0.21461247895331564,0.1882108788626164
coalitions,scaled,manhattan,20,uniform,0.20853528119838488,0.18770214057646673
coalitions,scaled,chebyshev,20,uniform,0.23424297767762775,0.20171244030141552
coalitions,scaled,minkowski,20,uniform,0.21461247895331564,0.1882108788626164
coalitions,scaled,euclidean,20,distance,1.0,0.19524193364440878
coalitions,scaled,manhattan,20,distance,1.0,0.19426504483304186
coalitions,scaled,chebyshev,20,distance,1.0,0.208442068308422
coalitions,scaled,minkowski,20,distance,1.0,0.19524193364440878
coalitions,scaled,euclidean,30,uniform,0.20539805705839648,0.19192266126018598
coalitions,scaled,manhattan,30,uniform,0.1985521783678597,0.1903684685421792
coalitions,scaled,chebyshev,30,uniform,0.19994151810612681,0.16809817828672752
coalitions,scaled,minkowski,30,uniform,0.20539805705839648,0.19192266126018598
coalitions,scaled,euclidean,30,distance,1.0,0.19425804201467625
coalitions,scaled,manhattan,30,distance,1.0,0.1918241299037145
coalitions,scaled,chebyshev,30,distance,1.0,0.18690395964354095
coalitions,scaled,minkowski,30,distance,1.0,0.19425804201467625
coalitions,scaled,euclidean,40,uniform,0.2007767608078209,0.1867233122298364
coalitions,scaled,manhattan,40,uniform,0.19674190815108186,0.18720559688380167
coalitions,scaled,chebyshev,40,uniform,0.19491374317605714,0.17644239260678138
coalitions,scaled,minkowski,40,uniform,0.2007767608078209,0.1867233122298364
coalitions,scaled,euclidean,40,distance,1.0,0.18707388055781043
coalitions,scaled,manhattan,40,distance,1.0,0.1873983776202801
