lr,epoch,val_tweets_f1_score,val_polemo_f1_score,val_wordnet_f1_score
0.1,2,0.4288115746142256,0.3212451820826757,0.4361082237683067
0.1,5,0.44735142118863047,0.309284836302425,0.4359833561037704
0.1,7,0.42498285493059007,0.30648800439485635,0.43523670059909453
0.1,10,0.42498285493059007,0.30515555352563406,0.4345708688966286
0.2,2,0.4216923738200334,0.30873037466382847,0.43101348886707813
0.2,5,0.4364691809738249,0.30264093772858014,0.43210095793970077
0.2,7,0.4265873015873016,0.3007978190018752,0.43067752199884257
0.2,10,0.4521928821033364,0.3007738907299552,0.4291209809865859
0.3,2,0.4326727642276422,0.29420828083538464,0.4259109211921807
0.3,5,0.41697274031563847,0.29581449324565856,0.4247401308159895
0.3,7,0.40997267147529237,0.29178279835761156,0.4254424917579449
0.3,10,0.41545688119670243,0.2916538612659179,0.42600719104896884
0.001,200,0.43671642201330474,0.2983042651358163,0.43851911083565365
0.001,500,0.42498285493059007,0.288457028942081,0.5828166385275977
0.001,700,0.42498285493059007,0.2838320949001081,0.5808390300810083
0.001,1000,0.42498285493059007,0.28062859497991605,0.5817705077820001
0.002,200,0.4428018029766503,0.29449580206428794,0.5843766312540054
0.002,500,0.42498285493059007,0.2826455840785022,0.5817609798174158
0.002,700,0.4260930940032779,0.2799901744036159,0.5807110417129747
0.002,1000,0.4260930940032779,0.2761901349611613,0.5809812196595066
0.003,200,0.4428018029766503,0.29090691493185494,0.5820594704738041
0.003,500,0.4260930940032779,0.2816181204497845,0.5818309489308066
0.003,700,0.4260930940032779,0.2771580648407219,0.5806957181334921
0.003,1000,0.4260930940032779,0.27548709647099506,0.5791707836464308
