ngram,val_tweets_f1_score,val_polemo_f1_score,val_wordnet_f1_score
1,0.43585432997387097,0.28738447247518534,0.4341680132568898
2,0.44735142118863047,0.3103547401569392,0.43576862784772574
3,0.404646375519353,0.30541623358380166,0.4277421180555243
4,0.3827880466065182,0.3046763416861908,0.5669321245879096
5,0.3849516840228915,0.30577395582727107,0.5659571821395029
6,0.35501909145585026,0.30564707010548375,0.5605300144841102
7,0.34933914177335235,0.3091330317678129,0.5575954998757585
