epoch,train_tweets_f_score,test_tweets_f_scores
1,0.4901883886461601,0.42401960784313725
2,0.5182504674801405,0.4582649493363779
3,0.5391241157126129,0.5106297953964195
4,0.5408891378753253,0.4654882154882155
5,0.5574858224366013,0.4546248934356351
6,0.5793304065653916,0.4941091219096334
7,0.5576706995679053,0.4507045942689506
8,0.5765695488898861,0.4564755887954662
9,0.5662675711532459,0.4586734693877551
10,0.6040060945066984,0.49004156010230177
11,0.589171088382536,0.45091503267973865
12,0.5926208455986945,0.4263227513227513
13,0.5864949643006507,0.48853737263747377
14,0.5959526885613637,0.4428763440860215
15,0.6154880450789881,0.4524316450022412
16,0.5939246614143909,0.45482815057283144
17,0.6095651926995237,0.454936224489796
18,0.6281873200342509,0.5373639840551605
19,0.6179985377533442,0.48419145690312737
20,0.6137982735437342,0.5005537325676784
21,0.627798666547909,0.5003218086944502
22,0.6251193623105606,0.5248356221389929
23,0.6451027346675826,0.43754166304379327
24,0.6250142575303623,0.46618048659384315
25,0.6256227863985131,0.4467940685045948
26,0.6403605085260962,0.5141414141414141
27,0.6381502246364945,0.4552410901467505
28,0.6446553372254307,0.5080925315162981
29,0.6548293635609268,0.4815910059676044
30,0.6471527033595281,0.46866750271005597
31,0.6579236943521193,0.4911100309689093
32,0.6580844902202233,0.5325421396628827
33,0.6632399106837549,0.4505762411347518
34,0.650577577018409,0.43747467071935153
35,0.6725728575711316,0.4621415770609319
36,0.6630773754258571,0.45299593521619175
37,0.6555145008460423,0.48544758812615957
38,0.6679495955336677,0.4358120531154239
39,0.6661110690677254,0.5077485014985015
40,0.6715651078968568,0.504130870561283
41,0.6714792971685892,0.516452147628102
42,0.683011365565867,0.48664665220516284
43,0.6787245680731153,0.49504417151475977
44,0.6908847127533615,0.4932923653563745
45,0.6890790206495354,0.5374354751595967
46,0.6910875895885747,0.488797221016066
47,0.6948216305411785,0.4995395127748069
48,0.6911570367224948,0.4837682533100323
49,0.6979891347434235,0.4646688864224935
50,0.6992796355142022,0.5164455642396819
51,0.6967941377939519,0.5020545073375262
52,0.7065211567040968,0.48639455782312924
53,0.6981160846024734,0.4535694048402428
54,0.7122056162000973,0.5207235970317365
55,0.7071987758017466,0.4885221809030126
56,0.7122512907601063,0.47159090909090906
57,0.7165622215776776,0.4885436836237751
58,0.7155272946798513,0.48263888888888884
59,0.705872716428762,0.5149689930448488
60,0.703066306202608,0.507260101010101
61,0.7173626101198916,0.4927318295739348
62,0.7215769478986733,0.511621891136716
63,0.7157887419778304,0.5161384431370406
64,0.7226061371599019,0.540958605664488
65,0.7209830903092855,0.48924885743771196
66,0.7237390937313102,0.45755576112652896
67,0.7294233592743213,0.4903997731228853
68,0.7345044241421868,0.4725757364232863
69,0.7142638284300131,0.5082591176005286
70,0.7265018050042173,0.5018867924528302
71,0.7238704749056926,0.48580590386624867
72,0.7194575557393094,0.5215277777777778
73,0.7454095959940039,0.4886630036630037
74,0.7456682759110501,0.49609263060062725
75,0.7287219542811223,0.5050956136062519
76,0.7348218740500749,0.4978368946539032
77,0.7374464938029095,0.5094760312151616
78,0.7411306733549368,0.5002616431187861
79,0.7390964869684074,0.49290204476374694
80,0.7492424981473036,0.5189473684210526
81,0.7570025502054246,0.48660732378057603
82,0.7623778907578926,0.49816423136045934
83,0.7477756858544193,0.48314793344405105
84,0.7471890200438018,0.48736161131119116
85,0.7582065463025516,0.4756922166860055
86,0.7421170564442346,0.504874835309618
87,0.7447298998387399,0.49095887749464184
88,0.7357924433238291,0.5115124525812303
89,0.7670546384990002,0.49126745555612045
90,0.7714521497405128,0.4810116419108791
91,0.7533773045835145,0.46860031978737193
92,0.7704408896746335,0.4971450118508942
93,0.7755912553375216,0.4616051609322974
94,0.7620031183579287,0.4774725274725274
95,0.7647507535967896,0.521589991928975
96,0.7813772865804929,0.4897282608695652
97,0.7783694834140953,0.4793657375867619
98,0.7770772985636738,0.48783114309553605
99,0.7736628467685887,0.49392941573792626
100,0.7472370700735288,0.48184747583243825
101,0.7676010922794847,0.4882188254066145
102,0.7741958436578198,0.480061115355233
103,0.784292603287434,0.4812582345191041
104,0.776247261864322,0.4738392857142858
105,0.7863470137609077,0.5015581232492997
106,0.7965972289878962,0.4850166481687014
107,0.7762017510828665,0.4839764363192085
108,0.781555891814722,0.48781130268199235
109,0.8006227081887163,0.47497667426912715
110,0.7877874923264265,0.4603059581320451
111,0.7974200510254208,0.5224209236805061
112,0.7779294068960781,0.4818465847877612
113,0.8014586020023797,0.47595910295378385
114,0.7829436354759981,0.47913533834586464
