epoch,train_tweets_f_score,test_tweets_f_scores,train_loss,val_loss
1,0.32517725229263306,0.4416506886482239,1.6058882474899292,1.085935115814209
2,0.4121033251285553,0.46380412578582764,1.4387538433074951,1.0311814546585083
3,0.43914273381233215,0.4395584464073181,1.3693413734436035,1.0187146663665771
4,0.45800650119781494,0.46988445520401,1.335278034210205,1.0056933164596558
5,0.4690627455711365,0.4423784613609314,1.3135963678359985,0.9976425170898438
6,0.4803515076637268,0.4521843492984772,1.2866346836090088,0.9937041401863098
7,0.48774856328964233,0.43620723485946655,1.275065541267395,0.999662458896637
8,0.49210062623023987,0.4428507089614868,1.262069582939148,0.9839370250701904
9,0.4980487823486328,0.43575435876846313,1.2513484954833984,0.9840949773788452
10,0.502741813659668,0.41353926062583923,1.2401139736175537,0.9802137613296509
11,0.5068592429161072,0.4122222065925598,1.2294564247131348,0.9847225546836853
12,0.5122755169868469,0.4228857457637787,1.2258410453796387,0.9823455810546875
13,0.5166435241699219,0.41339755058288574,1.2163957357406616,0.97147536277771
14,0.516878604888916,0.40204572677612305,1.2076475620269775,0.9750464558601379
15,0.5221229791641235,0.4179900288581848,1.2077075242996216,0.975486159324646
16,0.5231897830963135,0.4195755124092102,1.200488567352295,0.9708346128463745
17,0.52298504114151,0.4157536029815674,1.1936172246932983,0.9775262475013733
18,0.528215765953064,0.4191341996192932,1.185897707939148,0.9754443764686584
19,0.5297202467918396,0.4261528253555298,1.1810743808746338,0.9723089933395386
20,0.5328471660614014,0.41866838932037354,1.1755558252334595,0.9643386006355286
21,0.5352335572242737,0.43401873111724854,1.1735560894012451,0.9685211181640625
22,0.5361207127571106,0.47242629528045654,1.166106939315796,0.9692977070808411
23,0.5374054908752441,0.40607425570487976,1.1638585329055786,0.9639539122581482
24,0.5397380590438843,0.4560924172401428,1.1555800437927246,0.9627593159675598
25,0.5405827164649963,0.421274334192276,1.1543426513671875,0.9620192646980286
26,0.542793869972229,0.46534860134124756,1.1483365297317505,0.9719144105911255
27,0.5427744388580322,0.4677996039390564,1.1462526321411133,0.9580312967300415
28,0.5452169179916382,0.45521271228790283,1.1343462467193604,0.9630674123764038
29,0.5477703809738159,0.4464285373687744,1.1388951539993286,0.9532147645950317
30,0.5486432909965515,0.44297292828559875,1.1324496269226074,0.9545632004737854
31,0.5496162176132202,0.44460225105285645,1.127752661705017,0.9494509100914001
32,0.5485419034957886,0.4524133801460266,1.1263002157211304,0.959231436252594
33,0.5501556992530823,0.4536290168762207,1.1197364330291748,0.9515470266342163
34,0.5538989305496216,0.46143871545791626,1.1203798055648804,0.9541218280792236
35,0.5566442012786865,0.4409219026565552,1.1135575771331787,0.9477421045303345
36,0.5566112995147705,0.444419264793396,1.1131439208984375,0.9452224373817444
37,0.5569982528686523,0.47883230447769165,1.1103835105895996,0.9505065083503723
38,0.5547782778739929,0.4649868309497833,1.1074209213256836,0.9486954212188721
39,0.5581488013267517,0.47804349660873413,1.1049309968948364,0.9438098073005676
40,0.559438169002533,0.4687499403953552,1.099850058555603,0.9402348399162292
41,0.5582512617111206,0.4623737335205078,1.0981814861297607,0.9404494762420654
42,0.5608465671539307,0.46909090876579285,1.0950554609298706,0.9459387063980103
43,0.5636727213859558,0.4508509635925293,1.0915346145629883,0.9447523355484009
44,0.561934232711792,0.4687499403953552,1.0905625820159912,0.9450689554214478
45,0.5646697282791138,0.45428267121315,1.0847938060760498,0.9500073790550232
46,0.5625750422477722,0.45929932594299316,1.0885542631149292,0.9439519643783569
47,0.564807653427124,0.44486621022224426,1.0792229175567627,0.9450364708900452
48,0.5676922798156738,0.45954394340515137,1.0804797410964966,0.930918276309967
49,0.5680115818977356,0.4744623303413391,1.0762780904769897,0.9503002166748047
50,0.5660346746444702,0.4744623303413391,1.074839472770691,0.9467394948005676
51,0.568228006362915,0.4774167239665985,1.0704288482666016,0.938264787197113
52,0.5690187215805054,0.47585105895996094,1.0690232515335083,0.9487156271934509
53,0.5716495513916016,0.46094274520874023,1.0692992210388184,0.9380791783332825
54,0.5690117478370667,0.47453001141548157,1.0635215044021606,0.9427186250686646
55,0.5701950192451477,0.45305728912353516,1.0625663995742798,0.938129723072052
56,0.5728892087936401,0.4660973846912384,1.0614672899246216,0.9358581304550171
57,0.5710998773574829,0.4687499403953552,1.0593328475952148,0.9400781393051147
58,0.5738621950149536,0.4496275782585144,1.0562773942947388,0.9330071806907654
59,0.5752632021903992,0.47691333293914795,1.0555040836334229,0.945591926574707
60,0.5770726203918457,0.489734411239624,1.0494478940963745,0.936524510383606
61,0.5773292779922485,0.4783020317554474,1.0496766567230225,0.9335171580314636
62,0.5762892961502075,0.46993762254714966,1.0436627864837646,0.9356083273887634
63,0.5753200054168701,0.47640931606292725,1.0429755449295044,0.9362297654151917
64,0.5770808458328247,0.47585105895996094,1.0436840057373047,0.9397804737091064
65,0.5755245089530945,0.48161762952804565,1.0380282402038574,0.9309842586517334
66,0.5782091617584229,0.4756251275539398,1.0382322072982788,0.9294852018356323
67,0.5783290863037109,0.46825551986694336,1.0353153944015503,0.935759961605072
68,0.5784536600112915,0.4783020317554474,1.0355045795440674,0.9398630857467651
69,0.5796021819114685,0.4783020317554474,1.0365073680877686,0.936695396900177
70,0.5815646648406982,0.4783020317554474,1.0282262563705444,0.9319566488265991
71,0.5828295350074768,0.4783020317554474,1.0300933122634888,0.9319819211959839
72,0.580939531326294,0.4783020317554474,1.0267462730407715,0.9396834969520569
73,0.5844563245773315,0.4722960591316223,1.0262916088104248,0.9287151098251343
74,0.5838074088096619,0.47894737124443054,1.0234167575836182,0.9349683523178101
75,0.5836495757102966,0.46911635994911194,1.0187904834747314,0.9255680441856384
76,0.5883614420890808,0.49203431606292725,1.0210472345352173,0.9295628070831299
77,0.5862262845039368,0.47894737124443054,1.015607237815857,0.9320707321166992
78,0.5851801633834839,0.4874110817909241,1.011853814125061,0.9339540004730225
79,0.5855234861373901,0.47813647985458374,1.0129648447036743,0.9333187341690063
80,0.5846660137176514,0.47813647985458374,1.0102460384368896,0.9305747151374817
81,0.5872171521186829,0.47894737124443054,1.0087053775787354,0.9324204325675964
82,0.5872638821601868,0.4696429371833801,1.007557988166809,0.9235800504684448
83,0.5891391634941101,0.4867172837257385,1.0037422180175781,0.9330030679702759
84,0.5906425714492798,0.4874110817909241,1.0025432109832764,0.9331673979759216
85,0.5894760489463806,0.48810598254203796,1.0035961866378784,0.9296693801879883
86,0.5903957486152649,0.478267103433609,1.0023809671401978,0.9365978837013245
87,0.5893242359161377,0.4874110817909241,0.9993934631347656,0.9238966703414917
88,0.5882526636123657,0.4874110817909241,0.9960060119628906,0.937637984752655
89,0.5896871089935303,0.48967161774635315,0.9926220774650574,0.9280860424041748
90,0.5926470160484314,0.49662989377975464,0.9942932724952698,0.9283341765403748
91,0.5887273550033569,0.48810598254203796,0.9922050833702087,0.929107666015625
92,0.5905017852783203,0.4874110817909241,0.9942193627357483,0.9310760498046875
93,0.5932420492172241,0.4867172837257385,0.98870450258255,0.9305769801139832
94,0.5934629440307617,0.48625725507736206,0.986925482749939,0.9397118091583252
95,0.5923672914505005,0.494255006313324,0.9877213835716248,0.9336963295936584
96,0.5941373109817505,0.48751774430274963,0.9861010313034058,0.9327316880226135
97,0.5947442650794983,0.47894737124443054,0.9850109219551086,0.9237889051437378
98,0.5949874520301819,0.49421054124832153,0.9840022325515747,0.9297552108764648
99,0.597126841545105,0.49421054124832153,0.9793176651000977,0.9267521500587463
100,0.5971041321754456,0.4842105507850647,0.9795043468475342,0.9453293085098267
101,0.5978078842163086,0.48625725507736206,0.9727344512939453,0.9321922063827515
102,0.595947265625,0.4934251308441162,0.9734483957290649,0.9325821399688721
103,0.597468376159668,0.478267103433609,0.9703353047370911,0.9383918046951294
104,0.5986887216567993,0.47873178124427795,0.9670794010162354,0.9292973875999451
105,0.595551073551178,0.48625725507736206,0.9752408862113953,0.9482258558273315
106,0.5960053205490112,0.48625725507736206,0.9651980400085449,0.9338400959968567
107,0.5968525409698486,0.49855121970176697,0.9682378768920898,0.9292522072792053
108,0.5975934863090515,0.4889473617076874,0.9673077464103699,0.9309089183807373
109,0.5990031957626343,0.4928368926048279,0.964989960193634,0.9282019138336182
110,0.600434422492981,0.48625725507736206,0.9605151414871216,0.9332577586174011
111,0.6011967658996582,0.48625725507736206,0.959463357925415,0.9524816870689392
112,0.5992522835731506,0.49421054124832153,0.9598162770271301,0.9295386075973511
113,0.6011374592781067,0.49421054124832153,0.958726167678833,0.9302301406860352
114,0.6008433103561401,0.48625725507736206,0.9610925316810608,0.9344768524169922
