epoch,train_tweets_f_score,test_tweets_f_scores
1,0.5093452817757429,0.4006734006734006
2,0.5257504723974511,0.43586379256482355
3,0.5665053280685004,0.45691780985898633
4,0.5550604184165284,0.45812265917603
5,0.5607534298651721,0.4407178217821782
6,0.5809908686345916,0.4610943567710485
7,0.5867817612854047,0.450994599459946
8,0.5935460992992563,0.4426339011056618
9,0.6057455850176933,0.498758865248227
10,0.5477773328447142,0.4511857707509882
11,0.5940916936187003,0.44844557985210287
12,0.5968057141233921,0.48357371794871795
13,0.6039131805235094,0.4892792227637568
14,0.6075027218226385,0.4960927960927961
15,0.604970715622901,0.4922577938057815
16,0.6088140404237107,0.4692583732057416
17,0.6132811107884595,0.47913089461241765
18,0.6246792518659304,0.4900412087912088
19,0.6242876203327989,0.4692583732057416
20,0.6230665772401918,0.4770075497597803
21,0.6373646913705429,0.5285227613057801
22,0.6371345362768955,0.48812094473519085
23,0.6445963908995875,0.4966283716283717
24,0.6294358320853426,0.5247113997113997
25,0.6432559678823085,0.4910498306724721
26,0.6636592791138266,0.4801932367149759
27,0.6587065312097483,0.5293995859213251
28,0.6574227254847166,0.4893957902828677
29,0.658844915697021,0.48733322276278934
30,0.6409817026375881,0.49786893704850366
31,0.6634257808237962,0.49002080732417813
32,0.674437133705734,0.5335576259489303
33,0.6650905228635371,0.46374570446735397
34,0.6622363221342117,0.4959110825715797
35,0.6422213428639026,0.4504067584480601
36,0.6757586273452317,0.4951000637625713
37,0.6689399396219509,0.5060790273556232
38,0.6801609379893596,0.524238225353207
39,0.6693001946765393,0.4787339497528136
40,0.6807116790597083,0.49802243402710245
41,0.66701931295101,0.49140388596910334
42,0.6982877101828764,0.5000538761072468
43,0.6916457733480554,0.46215456101736363
44,0.6977620107730038,0.48547805808776756
45,0.6986551867176306,0.4720827463304796
46,0.7066922993392246,0.4970044012735953
47,0.7029713152978966,0.49479713825210747
48,0.7010871460331858,0.45548002219755834
49,0.7080758843887699,0.46446053946053945
50,0.6924823439728105,0.4719109195402299
51,0.7130935793945282,0.4891591468416735
52,0.6990046452931928,0.44810316173905906
53,0.7197761591549828,0.4486598825896516
54,0.7231085407487972,0.4843137254901961
55,0.7128968703315914,0.47163624070317783
56,0.7014714133096467,0.4745498130055852
57,0.7271290852825798,0.46109031672407574
58,0.7188035213684811,0.47751061716917753
59,0.7300055036480682,0.4553696303696304
60,0.7167645761459982,0.4649801587301587
61,0.7357125313565779,0.4577654903236298
62,0.742812622533792,0.4685957317536265
63,0.7412249111260087,0.4830057651991614
64,0.7432684990565723,0.4716416559522097
65,0.7462303464249725,0.46566673733305064
66,0.7284002144581523,0.45444350710977355
67,0.7511143046750022,0.48621471405587247
68,0.7591806642497847,0.46718772308584233
69,0.7523580461012493,0.43754767353165525
70,0.751881842226563,0.47122678018575853
71,0.757199787801947,0.4472222222222222
72,0.7426727695074046,0.4483346478688094
73,0.7376467954147624,0.4543623931038029
74,0.7622756906786557,0.48546469869999276
75,0.7710473324663267,0.5073683484973808
76,0.7358163474610507,0.45057397959183676
77,0.7685344048411463,0.4493006993006993
78,0.7475479231890108,0.4675686308795244
79,0.7709894640735622,0.45578231292517
80,0.7403670470447652,0.45445041816009557
81,0.7648080215501214,0.4156853405311951
82,0.7807432028053124,0.4712837401523957
